epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2921.81,0.5645,1.10988,1.19777,0.79465,0.45647,0.57894,0.45526,0.7246,1.05938,1.44733,0.000996313,0.000996313,0.000996313
43,2951.66,0.57113,1.10117,1.20601,0.43669,0.57473,0.56404,0.43588,0.73325,1.07942,1.45964,0.000990125,0.000990125,0.000990125
44,2982.98,0.56624,1.08784,1.20693,0.4447,0.63776,0.58056,0.45431,0.74503,1.11624,1.49325,0.000983938,0.000983938,0.000983938
45,3036.42,0.56389,1.07634,1.20022,0.42778,0.69785,0.59992,0.45703,0.70598,1.02884,1.40146,0.00097775,0.00097775,0.00097775
46,3114.57,0.56069,1.07448,1.19708,0.82061,0.44716,0.61785,0.47983,0.7362,1.05035,1.44582,0.000971562,0.000971562,0.000971562
47,3191.74,0.55683,1.08033,1.19074,0.47903,0.61721,0.59844,0.46078,0.72083,0.99493,1.43422,0.000965375,0.000965375,0.000965375
48,3266.83,0.553,1.06693,1.19542,0.43463,0.62506,0.59359,0.45347,0.73741,1.06336,1.41594,0.000959187,0.000959187,0.000959187
49,3328.3,0.55368,1.06299,1.19162,0.49004,0.58201,0.57854,0.44063,0.77075,1.08328,1.50645,0.000953,0.000953,0.000953
50,3358.83,0.56077,1.04721,1.19633,0.48947,0.63696,0.60427,0.46809,0.67857,1.04536,1.37414,0.000946812,0.000946812,0.000946812
51,3398.4,0.54125,1.06543,1.17958,0.48362,0.65429,0.5906,0.47105,0.70931,1.03772,1.42567,0.000940625,0.000940625,0.000940625
52,3474.89,0.54407,1.05373,1.18179,0.51148,0.58956,0.61705,0.48327,0.74551,1.03242,1.45804,0.000934438,0.000934438,0.000934438
53,3507.92,0.54114,1.01948,1.18018,0.50046,0.6763,0.61678,0.48044,0.75541,1.00514,1.49269,0.00092825,0.00092825,0.00092825
54,3538.37,0.54466,1.02893,1.1799,0.46887,0.64804,0.6052,0.47853,0.71116,1.00046,1.43116,0.000922063,0.000922063,0.000922063
55,3570.41,0.53986,1.03292,1.17376,0.49588,0.67038,0.62599,0.48154,0.72269,0.99532,1.43813,0.000915875,0.000915875,0.000915875
56,3602.96,0.5295,1.02153,1.17094,0.50951,0.60144,0.62576,0.49512,0.70171,0.97707,1.40847,0.000909688,0.000909688,0.000909688
57,3633.43,0.52698,1.0057,1.17636,0.5236,0.61776,0.60341,0.46719,0.71075,1.03021,1.43121,0.0009035,0.0009035,0.0009035
