epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,7924.03,0.36406,0.55361,1.02549,0.83788,0.71897,0.81241,0.672,0.60697,0.70464,1.28625,0.000142437,0.000142437,0.000142437
181,7954.4,0.37079,0.56221,1.03716,0.8594,0.71838,0.81312,0.67552,0.60389,0.70212,1.28325,0.00013625,0.00013625,0.00013625
182,7984.57,0.37427,0.57201,1.03516,0.84734,0.72046,0.81548,0.67461,0.60225,0.69809,1.28204,0.000130062,0.000130062,0.000130062
183,8015.34,0.36684,0.54701,1.03359,0.84679,0.72128,0.81955,0.67674,0.60604,0.69898,1.28751,0.000123875,0.000123875,0.000123875
184,8045.62,0.3681,0.5638,1.0303,0.83676,0.72759,0.82135,0.67518,0.60747,0.69738,1.28754,0.000117687,0.000117687,0.000117687
185,8075.9,0.365,0.54846,1.02666,0.84311,0.72705,0.81987,0.67692,0.60432,0.69589,1.28436,0.0001115,0.0001115,0.0001115
186,8106.36,0.36624,0.56661,1.03301,0.74161,0.81795,0.8162,0.67241,0.60532,0.70134,1.28533,0.000105312,0.000105312,0.000105312
187,8136.85,0.36948,0.54627,1.02811,0.79812,0.74754,0.81506,0.67403,0.6093,0.70539,1.28857,9.9125e-05,9.9125e-05,9.9125e-05
188,8167.14,0.36405,0.55019,1.02946,0.82588,0.73952,0.81712,0.6771,0.60771,0.70446,1.28305,9.29375e-05,9.29375e-05,9.29375e-05
189,8198.62,0.36764,0.5465,1.02445,0.84115,0.72893,0.81876,0.67513,0.61102,0.70536,1.28813,8.675e-05,8.675e-05,8.675e-05
190,8228.97,0.37452,0.56164,1.03707,0.84786,0.72794,0.81785,0.67111,0.61299,0.70754,1.29101,8.05625e-05,8.05625e-05,8.05625e-05
191,8270.61,0.27153,0.33353,0.94582,0.8114,0.73504,0.8125,0.66918,0.61132,0.70824,1.29516,7.4375e-05,7.4375e-05,7.4375e-05
192,8299.98,0.26772,0.30818,0.93725,0.81746,0.7286,0.8111,0.66825,0.61043,0.70536,1.30086,6.81875e-05,6.81875e-05,6.81875e-05
193,8329.05,0.26556,0.30674,0.93536,0.83613,0.72374,0.81032,0.66828,0.61016,0.70542,1.30339,6.2e-05,6.2e-05,6.2e-05
194,8358.23,0.26607,0.31587,0.93916,0.78827,0.76902,0.80951,0.67037,0.60923,0.70534,1.30437,5.58125e-05,5.58125e-05,5.58125e-05
195,8387.29,0.26461,0.30733,0.93974,0.79927,0.75642,0.80817,0.66951,0.60862,0.70553,1.30512,4.9625e-05,4.9625e-05,4.9625e-05
196,8416.3,0.26638,0.3071,0.94061,0.80877,0.75127,0.80858,0.66949,0.60982,0.7082,1.30575,4.34375e-05,4.34375e-05,4.34375e-05
197,8445.09,0.26434,0.30138,0.94214,0.81308,0.74416,0.81011,0.6706,0.61106,0.70612,1.30632,3.725e-05,3.725e-05,3.725e-05
198,8474.18,0.26638,0.30442,0.94408,0.80674,0.75174,0.80932,0.67043,0.60784,0.70285,1.30185,3.10625e-05,3.10625e-05,3.10625e-05
199,8503.17,0.26241,0.29701,0.94131,0.80269,0.75108,0.80871,0.67099,0.6059,0.70218,1.29908,2.4875e-05,2.4875e-05,2.4875e-05
200,8532.51,0.25889,0.29106,0.93672,0.81169,0.74395,0.80764,0.67017,0.60685,0.70059,1.30018,1.86875e-05,1.86875e-05,1.86875e-05
